model_name,organization,architecture,model_type,param_count_b,training_cutoff,flagged_by_hf,benchmark_name,task_type,language,score,fetch_date,source
gpt-4.1,openai,unknown,unknown,Undisclosed,Jun 2024,False,mmlu,unknown,english,0.865,2026-03-21,GitHub-LLM-Comparison
gpt-4.1,openai,unknown,unknown,Undisclosed,Jun 2024,False,humaneval,unknown,english,0.902,2026-03-21,GitHub-LLM-Comparison
gpt-4.1,openai,unknown,unknown,Undisclosed,Jun 2024,False,math,unknown,english,0.804,2026-03-21,GitHub-LLM-Comparison
gpt-4.1,openai,unknown,unknown,Undisclosed,Jun 2024,False,mt_bench,unknown,english,0.092,2026-03-21,GitHub-LLM-Comparison
gpt-4.1 mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,mmlu,unknown,english,0.835,2026-03-21,GitHub-LLM-Comparison
gpt-4.1 mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,humaneval,unknown,english,0.875,2026-03-21,GitHub-LLM-Comparison
gpt-4.1 mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,math,unknown,english,0.72,2026-03-21,GitHub-LLM-Comparison
gpt-4.1 mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,mt_bench,unknown,english,0.088,2026-03-21,GitHub-LLM-Comparison
o4-mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,mmlu,unknown,english,0.832,2026-03-21,GitHub-LLM-Comparison
o4-mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,humaneval,unknown,english,0.934,2026-03-21,GitHub-LLM-Comparison
o4-mini,openai,unknown,unknown,Undisclosed,Jun 2024,False,math,unknown,english,0.967,2026-03-21,GitHub-LLM-Comparison
o3,openai,unknown,unknown,Undisclosed,Jun 2024,False,mmlu,unknown,english,0.875,2026-03-21,GitHub-LLM-Comparison
o3,openai,unknown,unknown,Undisclosed,Jun 2024,False,humaneval,unknown,english,0.952,2026-03-21,GitHub-LLM-Comparison
o3,openai,unknown,unknown,Undisclosed,Jun 2024,False,math,unknown,english,0.967,2026-03-21,GitHub-LLM-Comparison
claude sonnet 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,mmlu,unknown,english,0.89,2026-03-21,GitHub-LLM-Comparison
claude sonnet 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,humaneval,unknown,english,0.93,2026-03-21,GitHub-LLM-Comparison
claude sonnet 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,math,unknown,english,0.785,2026-03-21,GitHub-LLM-Comparison
claude sonnet 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,mt_bench,unknown,english,0.092,2026-03-21,GitHub-LLM-Comparison
claude haiku 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,mmlu,unknown,english,0.8,2026-03-21,GitHub-LLM-Comparison
claude haiku 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,humaneval,unknown,english,0.895,2026-03-21,GitHub-LLM-Comparison
claude haiku 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,math,unknown,english,0.72,2026-03-21,GitHub-LLM-Comparison
claude haiku 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,mt_bench,unknown,english,0.086,2026-03-21,GitHub-LLM-Comparison
claude opus 4.5,anthropic,unknown,unknown,Undisclosed,Apr 2025,False,mmlu,unknown,english,0.895,2026-03-21,GitHub-LLM-Comparison
